Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Region
Angola,0.100835243223663,0.0822041088314802,0.2105329786097849,0.202739052602128,0.213562173986202,0.2058908188147,0.268937203624441,0.17209582227887,0.2897019788554099,0.480199018656621,0.6082241153342071,0.564505062620433,0.7211983104402091,0.7512027719894608,0.7207504766237339,0.6285694435388189,0.451346016212362,0.469216256201706,0.6947309728147679,0.6830591334545861,0.6409663253525529,0.611132856307255,0.519353407935757,0.551348098706374,0.520982747768118,0.4719029615861,0.4516186639762579,0.5440852849597361,0.463508254524667,0.437295194741341,0.5342500264804021,0.5331090519876029,0.5032644640537629,0.527722889498498,0.495417829398983,0.773025566852549,0.792321384997224,0.788753199728986,0.7402536524388659,0.7972586403456609,0.7544763717456949,0.7618428050969469,0.777423085629899,0.993848349116355,1.02835366708572,0.937036691701652,1.0094340395153198,1.1236352782253,1.1559928457501798,1.20590158910291,1.2215147407886202,1.2163169789758,1.2047988832211298,1.26154174238672,1.28536455265954,1.26092098873993,1.2277029417926002,1.03431729977182,0.8873803639083899,Central Africa
Burundi,,,0.0151355887896757,0.0160810763401628,0.0157522803483603,0.0118505237563089,0.0150358177395587,0.0146535043026667,0.0164837140725158,0.0214827050164489,0.0179182942567985,0.0207762039660057,0.0205454028470538,0.0203432895437599,0.0251410421376756,0.0208077594539027,0.0233389111796482,0.0256869599418438,0.0259987683781079,0.0271546556497901,0.0352825490414924,0.0369577547978212,0.0360024723002141,0.0456586972801155,0.0476120816360448,0.0486274825125367,0.0480254238762203,0.0496019309576035,0.0439866635788514,0.0504404596963032,0.0349331554071285,0.0413303113088896,0.0351767782608917,0.0362190486670183,0.0355994713648024,0.0367460135586109,0.0363029713982089,0.0375686239919766,0.037183351429231,0.0366994025337267,0.0407595638789372,0.0321812151810745,0.0328156515144871,0.0246050135465073,0.0224350812879083,0.0217247938418899,0.0249742042758467,0.0241661839789393,0.0246120404070635,0.0238161554747209,0.0368850314318101,0.0413019905550161,0.042180438832307,0.0429755787605046,0.0396168300827047,0.0403541956650932,0.0438596407590311,0.0526461137470086,0.0527946300523678,Eastern Africa
Benin,0.0663541996951,0.0520486725753437,0.054208782862419,0.0475884671771672,0.0553036182680249,0.0571148865980008,0.0423826477102961,0.0522840572249999,0.0551707486921423,0.0707503568475618,0.0969526888705913,0.0985562265355316,0.127712815538893,0.122481397419967,0.127701367849099,0.135891058558414,0.0777842409510843,0.0865099047749418,0.103019268527523,0.101339802278225,0.139097284190811,0.112310169873978,0.125105245617238,0.11255315673005,0.1208565973163609,0.1739863625166,0.155688131966732,0.1188573008571499,0.118496786967423,0.130855058692703,0.0763283799562478,0.064083941418733,0.0675193485133083,0.0760626908698149,0.07000086626072,0.077892803246843,0.172292933429949,0.1974005531036139,0.200918817206378,0.213081972634873,0.22283892124989,0.260007167154086,0.290594072977493,0.31646596342079,0.326451486534908,0.348273908158166,0.46611292127085,0.519232293173456,0.5001773617426409,0.525450061952798,0.552218690776448,0.5263809334256011,0.487190487574895,0.501769487097627,0.535635874149484,0.5663787369886539,0.6650066335101529,0.658601659819357,0.688722324311593,Western Africa
Burkina Faso,0.0091119003232152,0.0187299012376956,0.017003109471793,0.017504237927798,0.0215752798010391,0.0198412560383113,0.0195336696877687,0.0192168294177924,0.0188949449452581,0.0218898760747676,0.0254263775932548,0.0262689271964913,0.0276984000821263,0.0284431665293256,0.0339984221971856,0.0357491379554067,0.0333149400576854,0.0389683717582291,0.0533416936923694,0.0610098901981757,0.0634202458596036,0.0797953835313291,0.080427237963868,0.0809237546843647,0.0618369699859479,0.0616868109713521,0.0605719124782223,0.0635186632072412,0.0662633149332726,0.0957372289249026,0.0669615015628701,0.0662977125300246,0.0656117868886138,0.0649046587203125,0.0631584265972766,0.0634298921295397,0.0694127507752537,0.076883034277082,0.0802281250267807,0.0824271078472734,0.0904552405502056,0.0853943153674019,0.0829733955568723,0.0869247478234043,0.0867191135679651,0.0856806414276332,0.101235265478276,0.1178779526760719,0.13002285611201,0.127467638080145,0.133929621329696,0.13679962865119,0.1635362252652969,0.173961011998565,0.171727227334835,0.1877351935461499,0.187704296015038,0.212053871478473,0.2161864845880299,Western Africa
Botswana,,,,,,,,,,,,,0.0329817597467231,0.0744130359788145,0.123139606632704,0.252266822779107,0.771516736754885,0.975689916205723,0.99993032756854,1.08940979547391,1.09863787227407,1.08384780075923,1.14253488828582,1.03443647578012,1.01323975533211,1.08338467723463,0.9605283055552548,1.07320262117024,1.08475484408032,1.14917507979211,2.18378620344494,2.06586489997519,2.42016925050292,2.32290527549657,2.14774685316733,2.1712895622231,1.94055521145406,1.99295778305194,2.33528172826078,2.39712841404494,2.45233315463147,2.310897523936,2.36413969660403,2.2601645422849703,2.24861274187455,2.37899767491886,2.22777683667672,2.30343734703736,2.2916671016832004,2.09368337262189,1.69593368446374,1.98471176527211,2.51525948603394,2.69569091867304,3.4137389346740603,3.39979516352025,3.2964107550030697,3.56903798327132,3.64230521985371,Southern Africa
Central African Republic,0.058606829205923,0.057670191873567,0.0472579560128564,0.0464360902255639,0.0455919304645354,0.0536730365077642,0.0504124579577399,0.0536642732625185,0.1051199462446349,0.105132471737676,0.115406339704399,0.0996187484277515,0.0903112026752529,0.0851508034936802,0.0590718286248185,0.0524293965329277,0.0642683562533519,0.0629168680640458,0.0702604157186364,0.0479620025990551,0.0483518152334385,0.0599172157720161,0.061238646723238,0.0609054769254277,0.060663368278175,0.0634686114618613,0.0621103140584309,0.0983653690670673,0.0857547251755214,0.0908157560725999,0.0570056364323022,0.0521103474822191,0.0506887588553262,0.0525253533314862,0.0510364058631899,0.0496483962637099,0.0513869177975567,0.0501115423979022,0.0661778140317107,0.0674532654266321,0.0659264409253765,0.0671679004066613,0.0657526349053386,0.0618367843841507,0.0606078512925761,0.0594297713439548,0.0631362954778628,0.061934195393811,0.0608419401277868,0.0599406633540997,0.061548772272962,0.0656310687521655,0.0676222288692369,0.0674468771533821,0.0672017268155723,0.0689935904954429,0.0683168039724238,0.0674496189422899,0.0707187056333878,Central Africa
Cote d'Ivoire,0.1318778990163999,0.152474138431913,0.155597445180754,0.1590836593401269,0.1873394751844019,0.277616178315589,0.295285765090541,0.327629172160888,0.37423654833493,0.426040996677877,0.4786727739917329,0.5078589946769729,0.540577465026167,0.549279784192897,0.581683614333242,0.6221836442435279,0.590416608764827,0.577201128812835,0.6555458038338461,0.705639410834893,0.7746040032602859,0.532114782904156,0.6970026552223499,0.529302543264363,0.567166797672596,0.73870894367569,0.578835148169234,0.7180996445379351,0.8256314253420991,0.740894833475955,0.227256089016629,0.225684260116398,0.216196336869171,0.2230320025305089,0.224965523487493,0.229581361204792,0.264573264803403,0.316575454603014,0.309825768228387,0.417275505310345,0.38469345462015,0.371446624989089,0.3702513164958739,0.292620070679963,0.301605526348109,0.316543402704283,0.3001879933973569,0.2894959900893259,0.324397640507023,0.295625731243706,0.3029278217483089,0.284849452071393,0.366173070936217,0.383021967260586,0.395625651943387,0.4116050582300599,0.3912230699375039,0.424757467782576,0.39530538358065,Western Africa
Cameroon,0.0524168810798699,0.0534263384304491,0.0536594717646558,0.0544922676339554,0.059784098603607,0.0539868274877553,0.0583257781807192,0.0757341816553018,0.0816017647599497,0.0899863711354996,0.0978653489073361,0.121143245119071,0.125487646293888,0.127383310597834,0.134591386235174,0.156009945971424,0.142576886012444,0.19851599434097,0.2465413163592379,0.218734071598315,0.452983381254735,0.6010911360636071,0.692051861426649,0.6968330552881321,0.620821658543804,0.643039097367182,0.19189569005994,0.171884356603049,0.198656069388952,0.668197353587366,0.2461781688181219,0.2183242060084139,0.20240811251715,0.517720218241615,0.5509796781462409,0.522794732699686,0.453803257820662,0.45941132329702,0.45912148055539,0.431428136975522,0.431869549097251,0.39739065636004,0.3802512653900129,0.363076457533238,0.378925661158648,0.372742791458923,0.381371992051878,0.4335225474169289,0.4264342708966039,0.44416546967694,0.4419593774930879,0.381223120660896,0.328597266210376,0.333827053126968,0.341682842226338,0.343800786801621,0.3573436353065379,0.3386785106449669,0.34184290843119,Central Africa
Democratic Republic of the Congo,0.152227966267093,0.1507818285297709,0.135559232617885,0.139446360392054,0.11692693312699,0.142289855509669,0.134673888531956,0.1247033237533609,0.1781746563395739,0.1876858252220039,0.135604193946409,0.144083206907273,0.143059348451047,0.147251776450168,0.151241082146242,0.141373532451489,0.144902754486646,0.143812063832236,0.141793561704264,0.146316506360488,0.132857757179215,0.1396806229687519,0.11086746458249,0.141754194095746,0.136128876216734,0.121860176936539,0.110067805316779,0.122238365537535,0.123876795629018,0.131274363870515,0.0918755890113675,0.0484568444457317,0.0396422373789495,0.0368406347564079,0.031798893463099,0.0298247275324735,0.0292348156530874,0.0273802626319355,0.029654424725565,0.0287458856090148,0.0195304912364351,0.0163126969732348,0.0176452883972003,0.0208067646019686,0.0220468237225858,0.0271967817117304,0.0282795202930833,0.0299382312701678,0.0309545275507296,0.0307452987075509,0.0319063981512999,0.0377498958844389,0.035206804261136,0.0511499604169375,0.0649337929489086,0.0379043575216646,0.0261457386317123,0.028010252981111,0.0261692628875174,Central Africa
Republic of the Congo,0.2196770157544189,0.256625562375913,0.222920851897991,0.214006809904453,0.2378727049444,0.2126461304374539,0.259548931480255,0.2646031682255789,0.3597503830474871,0.389586349638896,0.431121099349307,0.502037863929113,0.471896396044109,0.8429407882747308,1.0887541008877,0.7159042545576179,0.7809715987691809,0.294851272205438,0.192387168624346,0.201732619515712,0.228938452089281,0.25840462485845,0.713994523768975,0.589606349854209,0.571076828473195,0.622975230588597,0.505168392304528,0.609669514244568,0.6721167557413029,0.657231219264587,0.356424552559892,1.27151250540806,1.2088620431375,1.16802350110161,1.05609257145245,1.08216634189365,1.00509186719147,1.16486583291569,1.09430281561065,0.9708955145285458,0.9144918175365,0.929168751340147,0.8458253684777801,0.8629507927259709,0.8147061873231719,1.33047180683316,1.32171188122857,1.3234874125511498,1.34862708018249,1.31229796883292,1.16525626980409,1.10584180273147,1.05316907443289,0.8652845044634621,0.861310987098279,0.7083884101890141,0.672556251801849,0.63005055470864,0.613992585944184,Central Africa
